user_id,display_name,legal_name,tax_id,payout_email,country_code,is_verified,bio,created_at,updated_at
49649f19-4f3f-470d-a2f9-415d2a2abafa,Pure Hub,Robert Evans,,mcmillandennis30@example.org,US,True,Digital creator specialising in icon sets.,2024-02-20T05:58:00+00:00,2024-02-20T05:58:00+00:00
f963e8e9-c322-4e9c-847b-4852e3e8f248,Luke Abbott,Luke Abbott,,colin3444@example.org,ZA,True,Creating high-quality assets since 2021.,2024-03-06T17:21:00+00:00,2024-03-06T17:21:00+00:00
65ab7ce0-fdff-4d67-87a2-0803331557ea,Digital Studio,鞠杰,,kyan54@example.net,CN,True,,2024-03-11T01:15:00+00:00,2024-03-11T01:15:00+00:00
f14f1e79-6f88-47cc-8df5-b90effc6d539,Modern Hub,佐藤 千代,,nakagawamai80@example.com,JP,False,,2024-03-24T21:53:00+00:00,2024-03-24T21:53:00+00:00
6f21ea14-739a-4df2-b772-21c7b1c054a6,Bright Hub,Maria Luísa Borges,,ianmartins87@example.org,BR,False,Digital creator specialising in Procreate brushes.,2024-03-28T08:28:00+00:00,2024-03-28T08:28:00+00:00
0c5cd345-29f6-41f7-9367-1f6b7b5289f3,Aarnav Mandal,Aarnav Mandal,,vrishti2790@example.net,IN,False,,2024-03-30T02:45:00+00:00,2024-03-30T02:45:00+00:00
6a0dd480-c193-4748-8b4c-b55313f58cf5,Jason Maldonado,Jason Maldonado,,georgemiller98@example.com,US,False,,2024-04-02T13:06:00+00:00,2024-04-02T13:06:00+00:00
d90d4eb0-9c71-46a9-944d-b4575325c832,Ekapad Johal,Ekapad Johal,,virajnarasimhan114@example.org,IN,False,,2024-04-06T07:14:00+00:00,2024-04-06T07:14:00+00:00
e803a944-f616-43a9-9b63-e63a4b1bceb2,Marcelo Cardoso,Marcelo Cardoso,,pastorbella123@example.net,BR,False,Sit velit in totam amet enim est aut magni culpa laboriosam sed.,2024-04-09T04:16:00+00:00,2024-04-09T04:16:00+00:00
f161bafc-33e6-4f3c-a996-51e5d6f561f3,Lic. Olivia Manzanares,Lic. Olivia Manzanares,,garayleonardo130@example.net,MX,False,,2024-04-10T11:34:00+00:00,2024-04-10T11:34:00+00:00
b29712ac-7f36-4e8a-99ce-8241d7070b58,Ridhi Shenoy,Ridhi Shenoy,,lavanya88150@example.com,IN,False,Creating premium assets since 2018.,2024-04-17T10:58:00+00:00,2024-04-17T10:58:00+00:00
f7b03614-aed1-449e-8fba-887aeb6d5f75,Heinz-Dieter Schleich,Heinz-Dieter Schleich,,belindahornig165@example.com,DE,True,Rot gehören nicht ja schlecht Haare auf vom Haare überall früher zu.,2024-04-21T14:14:00+00:00,2024-04-21T14:14:00+00:00
e12f77af-fd80-40f5-9098-92cdfd10e2d7,Falan Ravi,Falan Ravi,,yochana20166@example.org,IN,True,Freelance UI/UX designer sharing resources with the community.,2024-04-21T16:23:00+00:00,2024-04-21T16:23:00+00:00
b41387bd-9596-45f1-b282-b818d3dec487,Raw Craft,Michele Lewis,,heather73170@example.org,US,False,Creating premium assets since 2022.,2024-04-24T03:12:00+00:00,2024-04-24T03:12:00+00:00
8450deaa-95b1-4954-b666-c3c8bef8773a,Chandani Soman,Chandani Soman,,pillaygarima191@example.net,IN,False,Esse tempore sit occaecati nisi eaque omnis voluptas neque dolorem amet laboriosam minima quam quo fugit.,2024-04-29T05:57:00+00:00,2024-04-29T05:57:00+00:00
ec9a1fe5-c464-4e1d-a427-11460504e218,Isabelly Andrade,Isabelly Andrade,,correiaarthur-miguel192@example.com,BR,False,Creating high-quality assets since 2021.,2024-04-29T06:26:00+00:00,2024-04-29T06:26:00+00:00
db3c72ca-2934-478a-b9ca-cd1a88ee13cd,Mrs Deborah Kay,Mrs Deborah Kay,,catherinekelly226@example.com,GB,True,,2024-05-07T03:08:00+00:00,2024-05-07T03:08:00+00:00
2e932f41-e6b7-49b3-a7c7-5f47f3edb5c4,Vivid Works,Steven Schwartz,,enelson240@example.net,AU,False,Digital creator specialising in Procreate brushes.,2024-05-09T20:38:00+00:00,2024-05-09T20:38:00+00:00
28c8a2c3-429d-4414-9d3c-d7ebaca8bf47,Sharp Supply,Bartholomäus Adolph,,tillmann54247@example.org,DE,True,Jeder mit Licht Brot bleiben Minute nennen Stadt vielleicht.,2024-05-10T23:22:00+00:00,2024-05-10T23:22:00+00:00
cfa2d2ef-1e59-42f2-a6e3-dc6a0bcfee35,Creative Lab,Ing. Janett Zänker,,klingelhoeferjanko250@example.org,DE,False,,2024-05-11T12:39:00+00:00,2024-05-11T12:39:00+00:00
7e896cbf-c58f-49c6-bc32-1c4acc2badf8,Stellar Design,Melanie Taylor-Hopkins,,russellfrank275@example.org,GB,True,Creating hand-crafted assets since 2018.,2024-05-14T18:47:00+00:00,2024-05-14T18:47:00+00:00
20f80abe-cab5-4e9d-94c3-8410bf936b47,Diego Azevedo,Diego Azevedo,,pimentalucas288@example.com,BR,False,Freelance graphic designer sharing resources with the community.,2024-05-17T02:34:00+00:00,2024-05-17T02:34:00+00:00
4569d371-764a-42a7-a1ba-aa294fae3b64,Bright Supply,Angela Osborn,,rachelramos317@example.org,US,True,Freelance brand designer sharing resources with the community.,2024-05-21T19:57:00+00:00,2024-05-21T19:57:00+00:00
473c284f-9244-4d16-b2b5-c2b6d9451ca6,Terry Hill,Terry Hill,,cstephenson319@example.net,US,True,Digital creator specialising in motion graphics templates.,2024-05-22T05:10:00+00:00,2024-05-22T05:10:00+00:00
72feceeb-522f-4141-8f77-8575f1aab06f,Crafted Supply,Kevin Chang,,buckleyanna349@example.org,US,False,Enough pressure occur list common idea peace race I how these real any.,2024-05-28T10:54:00+00:00,2024-05-28T10:54:00+00:00
197b9fa1-24bf-4d21-bb88-aae1942e23a5,刘秀珍,刘秀珍,,ping65358@example.com,CN,False,,2024-05-30T12:33:00+00:00,2024-05-30T12:33:00+00:00
2932eddb-6d13-439c-9684-bf4aab30110f,Sharp Lab,Aditya Mitra,,qchaudhuri376@example.net,IN,True,Digital creator specialising in font bundles.,2024-06-01T21:19:00+00:00,2024-06-01T21:19:00+00:00
24f7427f-53fb-46f5-a6cc-9f620e8ec3c2,Creative Lab,黄慧,,guiyingqiu383@example.com,CN,False,,2024-06-02T13:36:00+00:00,2024-06-02T13:36:00+00:00
7f699dc3-ffd8-4cc6-a50d-0f82c5aeacef,Crafted Hub,Tobias Gehringer,,tetzold395@example.net,DE,False,Digital creator specialising in UI kits.,2024-06-03T19:10:00+00:00,2024-06-03T19:10:00+00:00
2e7dc559-a825-4bb3-9df1-481658feaeec,Tejas Wali,Tejas Wali,,handra412@example.net,IN,False,Temporibus nostrum numquam vero placeat eum totam velit harum molestiae.,2024-06-05T13:14:00+00:00,2024-06-05T13:14:00+00:00
95697f52-2bad-4b42-9e3a-49738b126725,Evelyn Duarte,Evelyn Duarte,,britolucas-gabriel414@example.net,BR,True,Distinctio occaecati distinctio placeat saepe dignissimos repudiandae soluta.,2024-06-05T14:26:00+00:00,2024-06-05T14:26:00+00:00
0c6dc296-a1ee-4019-a91d-d53d111352ac,Robert Grant,Robert Grant,,rhondarussell416@example.com,US,True,Freelance UI/UX designer sharing resources with the community.,2024-06-05T19:29:00+00:00,2024-06-05T19:29:00+00:00
cf4a0226-7fee-412e-849f-de24f225d822,Fiyaz Mander,Fiyaz Mander,,mkurian445@example.org,IN,True,,2024-06-09T13:54:00+00:00,2024-06-09T13:54:00+00:00
b9ccfdba-5755-4abd-94b7-eb6764438286,Crafted Works,Manya Bora,,mgolla492@example.com,IN,False,Digital creator specialising in Figma components.,2024-06-15T05:26:00+00:00,2024-06-15T05:26:00+00:00
